Estadísticas,Por 90,Percentil,player,player_id,clase
Goles sin penalización,0.00,20.0,Elias Gomez,9f110faf,Ofensiva
npxG: Goles esperados (xG) sin contar penaltis,0.02,22.0,Elias Gomez,9f110faf,Ofensiva
Total de disparos,0.52,36.0,Elias Gomez,9f110faf,Ofensiva
Asistencias,0.09,51.0,Elias Gomez,9f110faf,Ofensiva
xAG: Exp. Objetivos asistidos,0.11,66.0,Elias Gomez,9f110faf,Ofensiva
npxG + xAG,0.13,47.0,Elias Gomez,9f110faf,Ofensiva
Acciones para la creación de tiros,1.20,5.0,Elias Gomez,9f110faf,Ofensiva
Pases intentados,48.65,31.0,Elias Gomez,9f110faf,Colectiva
% de pase completo,75.6%,41.0,Elias Gomez,9f110faf,Colectiva
Pases progresivos,4.30,61.0,Elias Gomez,9f110faf,Colectiva
Acarreos progresivos,1.12,9.0,Elias Gomez,9f110faf,Colectiva
Tomas exitosas,0.52,35.0,Elias Gomez,9f110faf,Colectiva
Toques (Ataq. pen.),0.95,34.0,Elias Gomez,9f110faf,Colectiva
Pases progresivos Rec,3.44,30.0,Elias Gomez,9f110faf,Colectiva
Derribos,1.55,24.0,Elias Gomez,9f110faf,Defensiva
Intercepciones,0.95,34.0,Elias Gomez,9f110faf,Defensiva
Bloqueos,0.86,21.0,Elias Gomez,9f110faf,Defensiva
Despeje,2.49,62.0,Elias Gomez,9f110faf,Defensiva
Aéreos Ganados,1.29,72.0,Elias Gomez,9f110faf,Defensiva
Goles sin penalización,0.00,14.0,Agustin Bouzat,a98f4de5,Ofensiva
npxG: Goles esperados (xG) sin contar penaltis,0.01,2.0,Agustin Bouzat,a98f4de5,Ofensiva
Total de disparos,0.54,16.0,Agustin Bouzat,a98f4de5,Ofensiva
Asistencias,0.00,10.0,Agustin Bouzat,a98f4de5,Ofensiva
xAG: Exp. Objetivos asistidos,0.02,6.0,Agustin Bouzat,a98f4de5,Ofensiva
npxG + xAG,0.03,2.0,Agustin Bouzat,a98f4de5,Ofensiva
Acciones para la creación de tiros,1.17,6.0,Agustin Bouzat,a98f4de5,Ofensiva
Pases intentados,42.20,27.0,Agustin Bouzat,a98f4de5,Colectiva
% de pase completo,72.4%,9.0,Agustin Bouzat,a98f4de5,Colectiva
Pases progresivos,3.89,22.0,Agustin Bouzat,a98f4de5,Colectiva
Acarreos progresivos,0.81,32.0,Agustin Bouzat,a98f4de5,Colectiva
Tomas exitosas,0.36,21.0,Agustin Bouzat,a98f4de5,Colectiva
Toques (Ataq. pen.),0.36,12.0,Agustin Bouzat,a98f4de5,Colectiva
Pases progresivos Rec,0.81,17.0,Agustin Bouzat,a98f4de5,Colectiva
Derribos,2.62,80.0,Agustin Bouzat,a98f4de5,Defensiva
Intercepciones,1.90,97.0,Agustin Bouzat,a98f4de5,Defensiva
Bloqueos,1.72,89.0,Agustin Bouzat,a98f4de5,Defensiva
Despeje,2.71,97.0,Agustin Bouzat,a98f4de5,Defensiva
Aéreos Ganados,0.90,53.0,Agustin Bouzat,a98f4de5,Defensiva
Goles sin penalización,0.28,67.0,Francisco Pizzini,3511f465,Ofensiva
npxG: Goles esperados (xG) sin contar penaltis,0.28,78.0,Francisco Pizzini,3511f465,Ofensiva
Total de disparos,1.93,37.0,Francisco Pizzini,3511f465,Ofensiva
Asistencias,0.37,93.0,Francisco Pizzini,3511f465,Ofensiva
xAG: Exp. Objetivos asistidos,0.21,71.0,Francisco Pizzini,3511f465,Ofensiva
npxG + xAG,0.50,79.0,Francisco Pizzini,3511f465,Ofensiva
Acciones para la creación de tiros,2.94,28.0,Francisco Pizzini,3511f465,Ofensiva
Pases intentados,28.59,26.0,Francisco Pizzini,3511f465,Colectiva
% de pase completo,68.5%,18.0,Francisco Pizzini,3511f465,Colectiva
Pases progresivos,4.14,61.0,Francisco Pizzini,3511f465,Colectiva
Acarreos progresivos,3.95,78.0,Francisco Pizzini,3511f465,Colectiva
Tomas exitosas,1.93,74.0,Francisco Pizzini,3511f465,Colectiva
Toques (Ataq. pen.),4.14,65.0,Francisco Pizzini,3511f465,Colectiva
Pases progresivos Rec,6.44,37.0,Francisco Pizzini,3511f465,Colectiva
