player,id,profile,team,league,season,country,link
Elias Gomez,9f110faf,https://fbref.com/req/202302030/images/headshots/9f110faf_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/9f110faf/Elias-Gomez
Agustin Bouzat,a98f4de5,https://fbref.com/req/202302030/images/headshots/a98f4de5_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/a98f4de5/Agustin-Bouzat
Francisco Pizzini,3511f465,https://fbref.com/req/202302030/images/headshots/3511f465_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/3511f465/Francisco-Pizzini
Braian Romero,c5cc3130,https://fbref.com/req/202302030/images/headshots/c5cc3130_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/c5cc3130/Braian-Romero
Claudio Aquino,1645d166,https://fbref.com/req/202302030/images/headshots/1645d166_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/1645d166/Claudio-Aquino
Thiago Fernandez,00322f0d,https://fbref.com/req/202302030/images/headshots/00322f0d_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/00322f0d/Thiago-Fernandez
Tomas Marchiori,1c00ff13,https://fbref.com/req/202302030/images/headshots/1c00ff13_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/1c00ff13/Tomas-Marchiori
Christian Ordonez,0d94b6d9,https://fbref.com/req/202302030/images/headshots/0d94b6d9_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/0d94b6d9/Christian-Ordonez
Joaquin Garcia,14779141,https://fbref.com/req/202302030/images/headshots/14779141_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/14779141/Joaquin-Garcia
Emanuel Mammana,7e927fda,https://fbref.com/req/202302030/images/headshots/7e927fda_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/7e927fda/Emanuel-Mammana
Valentin Gomez,0394c2ee,https://fbref.com/req/202302030/images/headshots/0394c2ee_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/0394c2ee/Valentin-Gomez
Patricio Pernicone,62cd6639,https://fbref.com/req/202302030/images/headshots/62cd6639_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/62cd6639/Patricio-Pernicone
Tomas Guidara,14efa370,https://fbref.com/req/202302030/images/headshots/14efa370_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/14efa370/Tomas-Guidara
Damian Fernandez,a15750e1,https://fbref.com/req/202302030/images/headshots/a15750e1_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/a15750e1/Damian-Fernandez
Aaron Quiros,95fd4bf2,https://fbref.com/req/202302030/images/headshots/95fd4bf2_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/95fd4bf2/Aaron-Quiros
Leonel Roldan,e763fecf,https://fbref.com/req/202302030/images/headshots/e763fecf_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/e763fecf/Leonel-Roldan
Randall Rodriguez,2cd45366,https://fbref.com/req/202302030/images/headshots/2cd45366_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/2cd45366/Randall-Rodriguez
Matias Pellegrini,b59f0060,https://fbref.com/req/202302030/images/headshots/b59f0060_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/b59f0060/Matias-Pellegrini
Michael Santos,3cb6f224,https://fbref.com/req/202302030/images/headshots/3cb6f224_2022.jpg,Velez Sarsfield,Liga Profesional,2024,Argentina,https://www.fbref.com/es/jugadores/3cb6f224/Michael-Santos
