player,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,league,season,team,country
Elías Gómez,ARG,DF,30.221917808219178,12,12,1047.0,11.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.3,1.5,13.0,50.0,40.0,0.0,0.09,0.09,0.0,0.09,0.01,0.12,0.13,0.01,0.13,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Agustín Bouzat,ARG,CC,30.421917808219177,12,12,996.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,0.3,9.0,43.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Francisco Pizzini,ARG,DL,30.945205479452056,12,12,979.0,10.9,3.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.3,5.4,43.0,45.0,70.0,0.28,0.37,0.64,0.28,0.64,0.28,0.22,0.5,0.28,0.5,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Braian Romero,ARG,DL,33.205479452054796,12,12,932.0,10.4,5.0,2.0,7.0,4.0,1.0,1.0,2.0,0.0,4.2,3.4,1.7,5.2,9.0,8.0,65.0,0.48,0.19,0.68,0.39,0.58,0.41,0.17,0.58,0.33,0.5,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Claudio Aquino,ARG,CC,33.0986301369863,12,12,925.0,10.3,7.0,2.0,9.0,5.0,2.0,2.0,1.0,0.0,3.4,1.8,1.9,3.7,35.0,114.0,63.0,0.68,0.19,0.88,0.49,0.68,0.33,0.18,0.51,0.17,0.36,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Thiago Fernández,ARG,DL,20.405479452054795,12,12,867.0,9.6,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,2.8,2.8,2.6,5.4,34.0,28.0,85.0,0.42,0.42,0.83,0.42,0.83,0.29,0.27,0.56,0.29,0.56,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Tomás Marchiori,ARG,PO,29.19178082191781,11,11,951.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Christian Ordoñez,ARG,CC,20.0986301369863,11,11,939.0,10.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,1.0,1.4,15.0,35.0,32.0,0.0,0.1,0.1,0.0,0.1,0.04,0.1,0.13,0.04,0.13,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Joaquín García,ARG,DF,23.024657534246575,8,8,719.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.2,0.3,10.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Emanuel Mammana,ARG,DF,28.55068493150685,8,8,654.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Valentín Gómez,ARG,DF,21.175342465753424,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.3,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Patricio Pernicone,ARG,DF,23.153424657534245,7,4,419.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Tomás Guidara,ARG,DF,28.463013698630135,4,4,329.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Damián Fernández,ARG,DF,23.65753424657534,4,4,327.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Aaron Quirós,ARG,"DF,DL",22.83013698630137,3,1,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Leonel Roldán,ARG,CC,19.887671232876713,3,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Randall Rodríguez,URU,PO,20.75068493150685,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Matías Pellegrini,ARG,DL,24.301369863013697,10,0,182.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,4.0,8.0,16.0,0.49,0.0,0.49,0.49,0.49,0.06,0.0,0.06,0.06,0.06,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Michael Santos,URU,"DL,CC",31.463013698630135,7,0,156.0,1.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,5.0,5.0,14.0,1.15,0.0,1.15,1.15,1.15,0.46,0.0,0.46,0.46,0.46,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Alejo Sarco,ARG,"DL,CC",18.578082191780823,4,0,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Juan Ignacio Méndez,ARG,CC,27.336986301369862,3,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Agustín Lagos,ARG,"DF,DL",22.89041095890411,3,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Lautaro Garzón,ARG,PO,21.08219178082192,1,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Rodrigo Piñeiro,URU,"CC,DL",25.317808219178083,3,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Jalil Elías,SYR,CC,28.345205479452055,2,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Álvaro Montoro,ARG,"DL,CC",17.367123287671234,4,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Santiago Cáseres,ARG,CC,27.50958904109589,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
Maher Carrizo,ARG,DL,18.526027397260275,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Velez Sarsfield,Argentina
