team,stat,value,class,table,target,league,country,season
Arg Juniors,PL,29.0,,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,PL,26.0,,Standard,For,Liga Profesional,Argentina,2024
Banfield,PL,34.0,,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,PL,27.0,,Standard,For,Liga Profesional,Argentina,2024
Belgrano,PL,33.0,,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,PL,36.0,,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,PL,37.0,,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,PL,32.0,,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,PL,29.0,,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,PL,35.0,,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,PL,33.0,,Standard,For,Liga Profesional,Argentina,2024
Huracán,PL,27.0,,Standard,For,Liga Profesional,Argentina,2024
Independiente,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,PL,35.0,,Standard,For,Liga Profesional,Argentina,2024
Instituto,PL,22.0,,Standard,For,Liga Profesional,Argentina,2024
Lanús,PL,30.0,,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,PL,36.0,,Standard,For,Liga Profesional,Argentina,2024
Platense,PL,32.0,,Standard,For,Liga Profesional,Argentina,2024
Racing Club,PL,29.0,,Standard,For,Liga Profesional,Argentina,2024
River Plate,PL,36.0,,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,PL,30.0,,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,PL,34.0,,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,PL,35.0,,Standard,For,Liga Profesional,Argentina,2024
Talleres,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Tigre,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Unión,PL,25.0,,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Edad,25.6,,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Edad,27.2,,Standard,For,Liga Profesional,Argentina,2024
Banfield,Edad,26.6,,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Edad,25.8,,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Edad,27.6,,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Edad,24.9,,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Edad,26.0,,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Edad,30.2,,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Edad,29.0,,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Edad,26.1,,Standard,For,Liga Profesional,Argentina,2024
Huracán,Edad,28.9,,Standard,For,Liga Profesional,Argentina,2024
Independiente,Edad,27.8,,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Edad,27.9,,Standard,For,Liga Profesional,Argentina,2024
Instituto,Edad,26.0,,Standard,For,Liga Profesional,Argentina,2024
Lanús,Edad,29.6,,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Edad,27.5,,Standard,For,Liga Profesional,Argentina,2024
Platense,Edad,26.6,,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Edad,27.1,,Standard,For,Liga Profesional,Argentina,2024
River Plate,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Edad,26.2,,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Edad,28.6,,Standard,For,Liga Profesional,Argentina,2024
Talleres,Edad,27.1,,Standard,For,Liga Profesional,Argentina,2024
Tigre,Edad,25.0,,Standard,For,Liga Profesional,Argentina,2024
Unión,Edad,27.0,,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Edad,27.1,,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Pos.,60.8,,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Pos.,46.6,,Standard,For,Liga Profesional,Argentina,2024
Banfield,Pos.,46.8,,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Pos.,50.9,,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Pos.,51.2,,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Pos.,55.8,,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Pos.,57.9,,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Pos.,54.4,,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Pos.,34.2,,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Pos.,59.2,,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Pos.,49.3,,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Pos.,48.7,,Standard,For,Liga Profesional,Argentina,2024
Huracán,Pos.,46.8,,Standard,For,Liga Profesional,Argentina,2024
Independiente,Pos.,47.9,,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Pos.,43.8,,Standard,For,Liga Profesional,Argentina,2024
Instituto,Pos.,45.0,,Standard,For,Liga Profesional,Argentina,2024
Lanús,Pos.,42.9,,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Pos.,50.0,,Standard,For,Liga Profesional,Argentina,2024
Platense,Pos.,41.0,,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Pos.,55.4,,Standard,For,Liga Profesional,Argentina,2024
River Plate,Pos.,67.3,,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Pos.,51.1,,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Pos.,57.3,,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Pos.,32.6,,Standard,For,Liga Profesional,Argentina,2024
Talleres,Pos.,53.3,,Standard,For,Liga Profesional,Argentina,2024
Tigre,Pos.,51.9,,Standard,For,Liga Profesional,Argentina,2024
Unión,Pos.,47.3,,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Pos.,51.3,,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Banfield,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Belgrano,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
