name,id,logo,league,league_id,country,season,link
Velez Sarsfield,41c139b6,https://cdn.ssref.net/req/202408052/tlogo/fb/41c139b6.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/41c139b6/Estadisticas-de-Velez-Sarsfield
Huracan,1d3d37ae,https://cdn.ssref.net/req/202408052/tlogo/fb/1d3d37ae.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/1d3d37ae/Estadisticas-de-Huracan
Atletico Tucuman,42a1ab8b,https://cdn.ssref.net/req/202408052/tlogo/fb/42a1ab8b.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/42a1ab8b/Estadisticas-de-Atletico-Tucuman
Union,5adc7e67,https://cdn.ssref.net/req/202408052/tlogo/fb/5adc7e67.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/5adc7e67/Estadisticas-de-Union
Racing Club,8e20e13d,https://cdn.ssref.net/req/202408052/tlogo/fb/8e20e13d.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/8e20e13d/Estadisticas-de-Racing-Club
Instituto,e2f19203,https://cdn.ssref.net/req/202408052/tlogo/fb/e2f19203.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/e2f19203/Estadisticas-de-Instituto
Talleres,ceda2145,https://cdn.ssref.net/req/202408052/tlogo/fb/ceda2145.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/ceda2145/Estadisticas-de-Talleres
Boca Juniors,795ca75e,https://cdn.ssref.net/req/202408052/tlogo/fb/795ca75e.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/795ca75e/Estadisticas-de-Boca-Juniors
Rosario Central,87a920fa,https://cdn.ssref.net/req/202408052/tlogo/fb/87a920fa.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/87a920fa/Estadisticas-de-Rosario-Central
Deportivo Riestra,b3d222b1,https://cdn.ssref.net/req/202408052/tlogo/fb/b3d222b1.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/b3d222b1/Estadisticas-de-Deportivo-Riestra
River Plate,ef99c78c,https://cdn.ssref.net/req/202408052/tlogo/fb/ef99c78c.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/ef99c78c/Estadisticas-de-River-Plate
Gimnasia y Esgrima LP,950a95f2,https://cdn.ssref.net/req/202408052/tlogo/fb/950a95f2.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/950a95f2/Estadisticas-de-Gimnasia-y-Esgrima-LP
Lanus,11b6dba8,https://cdn.ssref.net/req/202408052/tlogo/fb/11b6dba8.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/11b6dba8/Estadisticas-de-Lanus
Estudiantes LP,df734df9,https://cdn.ssref.net/req/202408052/tlogo/fb/df734df9.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/df734df9/Estadisticas-de-Estudiantes-LP
Godoy Cruz,ac9a09b4,https://cdn.ssref.net/req/202408052/tlogo/fb/ac9a09b4.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/ac9a09b4/Estadisticas-de-Godoy-Cruz
Belgrano,7765008b,https://cdn.ssref.net/req/202408052/tlogo/fb/7765008b.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/7765008b/Estadisticas-de-Belgrano
Platense,3cbfa767,https://cdn.ssref.net/req/202408052/tlogo/fb/3cbfa767.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/3cbfa767/Estadisticas-de-Platense
Independiente Rivadavia,8a9d5afa,https://cdn.ssref.net/req/202408052/tlogo/fb/8a9d5afa.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/8a9d5afa/Estadisticas-de-Independiente-Rivadavia
Independiente,40bb0ce9,https://cdn.ssref.net/req/202408052/tlogo/fb/40bb0ce9.png,Liga Profesional,21,Argentina,2024,https://www.fbref.com/es/equipos/40bb0ce9/Estadisticas-de-Independiente
