name,id,profile,coach,team,league,season,link
Frank Kudelka,306387,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F306387.png&w=96&q=75,True,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/306387/frank-kudelka
Hernán Galindez,146801,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F146801.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/146801/hernan-galindez
Sebastian Meza,1209083,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F1209083.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/1209083/sebastian-meza
Nazareno Duran,1510567,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F1510567.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/1510567/nazareno-duran
Fernando Tobio,115671,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F115671.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/115671/fernando-tobio
Guillermo Burdisso,166510,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F166510.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/166510/guillermo-burdisso
Juan Komar,529624,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F529624.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/529624/juan-komar
Guillermo Benitez,571609,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F571609.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/571609/guillermo-benitez
Lucas Carrizo,846916,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F846916.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/846916/lucas-carrizo
Fabio Pereyra,889736,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F889736.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/889736/fabio-pereyra
Hernan De La Fuente,900404,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F900404.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/900404/hernan-de-la-fuente
Cesar Ibanez,1092826,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F1092826.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/1092826/cesar-ibanez
Lucas Souto,1216361,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F1216361.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/1216361/lucas-souto
Leandro Figueredo,1403679,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F1403679.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/1403679/leandro-figueredo
Rodrigo Echeverria,517555,https://www.fotmob.com/_next/image?url=https%3A%2F%2Fimages.fotmob.com%2Fimage_resources%2Fplayerimages%2F517555.png&w=96&q=75,False,Huracan,Liga Profesional,2024,https://www.fotmob.com/es/players/517555/rodrigo-echeverria
