team,id,logo,league,country,season,link
Velez Sarsfield,10079,https://images.fotmob.com/image_resources/logo/teamlogo/10079_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10079/overview/velez-sarsfield
Atletico Tucuman,161727,https://images.fotmob.com/image_resources/logo/teamlogo/161727_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/161727/overview/atletico-tucuman
Instituto,10090,https://images.fotmob.com/image_resources/logo/teamlogo/10090_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10090/overview/instituto
Huracan,10081,https://images.fotmob.com/image_resources/logo/teamlogo/10081_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10081/overview/huracan
Talleres,10101,https://images.fotmob.com/image_resources/logo/teamlogo/10101_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10101/overview/talleres
Union,10096,https://images.fotmob.com/image_resources/logo/teamlogo/10096_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10096/overview/union
Racing Club,10080,https://images.fotmob.com/image_resources/logo/teamlogo/10080_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10080/overview/racing-club
Boca Juniors,10077,https://images.fotmob.com/image_resources/logo/teamlogo/10077_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10077/overview/boca-juniors
Gimnasia LP,10103,https://images.fotmob.com/image_resources/logo/teamlogo/10103_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10103/overview/gimnasia-lp
Deportivo Riestra,298629,https://images.fotmob.com/image_resources/logo/teamlogo/298629_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/298629/overview/deportivo-riestra
River Plate,10076,https://images.fotmob.com/image_resources/logo/teamlogo/10076_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10076/overview/river-plate
Rosario Central,10084,https://images.fotmob.com/image_resources/logo/teamlogo/10084_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10084/overview/rosario-central
Lanus,10082,https://images.fotmob.com/image_resources/logo/teamlogo/10082_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10082/overview/lanus
Godoy Cruz,10227,https://images.fotmob.com/image_resources/logo/teamlogo/10227_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10227/overview/godoy-cruz
Belgrano,10092,https://images.fotmob.com/image_resources/logo/teamlogo/10092_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10092/overview/belgrano
Estudiantes,10094,https://images.fotmob.com/image_resources/logo/teamlogo/10094_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10094/overview/estudiantes
Tigre,89396,https://images.fotmob.com/image_resources/logo/teamlogo/89396_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/89396/overview/tigre
Independiente,10078,https://images.fotmob.com/image_resources/logo/teamlogo/10078_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10078/overview/independiente
Club Atletico Platense,10089,https://images.fotmob.com/image_resources/logo/teamlogo/10089_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10089/overview/club-atletico-platense
Independiente Rivadavia,161729,https://images.fotmob.com/image_resources/logo/teamlogo/161729_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/161729/overview/independiente-rivadavia
Sarmiento,202757,https://images.fotmob.com/image_resources/logo/teamlogo/202757_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/202757/overview/sarmiento
Argentinos Juniors,10086,https://images.fotmob.com/image_resources/logo/teamlogo/10086_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10086/overview/argentinos-juniors
San Lorenzo,10083,https://images.fotmob.com/image_resources/logo/teamlogo/10083_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10083/overview/san-lorenzo
Newell's Old Boys,10201,https://images.fotmob.com/image_resources/logo/teamlogo/10201_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10201/overview/newells-old-boys
Banfield,10087,https://images.fotmob.com/image_resources/logo/teamlogo/10087_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/10087/overview/banfield
Defensa y Justicia,161730,https://images.fotmob.com/image_resources/logo/teamlogo/161730_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/161730/overview/defensa-y-justicia
Barracas Central,213534,https://images.fotmob.com/image_resources/logo/teamlogo/213534_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/213534/overview/barracas-central
Central Cordoba de Santiago,213596,https://images.fotmob.com/image_resources/logo/teamlogo/213596_xsmall.png,Liga Profesional,ARG,2024,https://www.fotmob.com/es/teams/213596/overview/central-cordoba-de-santiago
