Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,Equipo
Manuel Roffo,ARG,PO,24.133,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Partidos,Instituto
Gastón Lodico,ARG,CC,26.079,24,24,2069.0,23.0,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,4.7,5.6,20.0,185.0,50.0,0.04,0.3,0.35,0.04,0.35,0.04,0.21,0.25,0.04,0.25,Partidos,Instituto
Fernando Alarcón,ARG,DF,30.06,21,21,1865.0,20.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.6,0.1,0.7,7.0,43.0,6.0,0.05,0.0,0.05,0.05,0.05,0.03,0.0,0.04,0.03,0.04,Partidos,Instituto
Damián Puebla,ARG,CC,21.335,23,23,1754.0,19.5,6.0,2.0,8.0,3.0,3.0,3.0,1.0,0.0,4.9,2.5,1.6,4.1,44.0,67.0,82.0,0.31,0.1,0.41,0.15,0.26,0.25,0.08,0.33,0.13,0.21,Partidos,Instituto
Juan Franco Arrellaga,PAR,DF,32.187,17,17,1443.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,0.6,2.0,17.0,40.0,50.0,0.12,0.0,0.12,0.12,0.12,0.09,0.04,0.13,0.09,0.13,Partidos,Instituto
Jonathan Bay,ARG,DF,31.196,18,15,1383.0,15.4,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.8,2.6,10.0,30.0,74.0,0.07,0.13,0.2,0.07,0.2,0.05,0.12,0.17,0.05,0.17,Partidos,Instituto
Jonás Acevedo,ARG,CC,27.191,18,15,1272.0,14.1,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,1.1,1.1,2.8,4.0,31.0,68.0,66.0,0.0,0.21,0.21,0.0,0.21,0.08,0.2,0.28,0.08,0.28,Partidos,Instituto
Facundo Suárez,ARG,DL,30.045,22,14,1184.0,13.2,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,6.0,6.0,1.3,7.3,14.0,17.0,56.0,0.38,0.08,0.46,0.38,0.46,0.46,0.1,0.55,0.46,0.55,Partidos,Instituto
Ignacio Russo,ARG,DL,23.246,22,13,1138.0,12.6,4.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,4.5,3.7,1.5,5.2,7.0,24.0,62.0,0.32,0.0,0.32,0.32,0.32,0.36,0.12,0.47,0.29,0.41,Partidos,Instituto
Roberto Bochi,ARG,CC,34.243,14,13,1114.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Instituto
