player,id,jersey,position,substitute,minutes,order,line,lat,pos,local,team,formation,defense,midfield,attack,match,league,season,country,round,averageX,averageY,pointsCount
Juan Cozzani,874969,31,G,False,90,1,por,1/1,POR,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,13.83,47.63,30.0
Bautista Barros Schelotto,1085929,4,D,False,78,2,def,1/4,DEF,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,48.172340425532,15.806382978723,47.0
Ignacio Vazquez,883922,13,D,False,90,3,def,2/4,DEF,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,41.474545454545,37.970909090909,55.0
Gastón Suso,850925,6,D,False,90,4,def,3/4,DEF,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,34.630303030303,65.254545454545,33.0
Sasha Marcich,992126,18,D,False,90,5,def,4/4,DEF,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,65.926865671642,81.959701492537,67.0
Guido Mainero,895232,7,M,False,78,6,mid_0,1/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,66.595652173913,17.424637681159,69.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Fernando Juárez,851585,8,M,False,90,7,mid_0,2/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,50.21125,37.60375,80.0
Carlos Villalba,975704,5,M,False,66,8,mid_0,3/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,63.858064516129,57.251612903226,31.0
Franco Minerva,1650800,29,M,False,78,9,mid_0,4/4,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,70.935294117647,74.098039215686,51.0
Augusto Lotti,824456,33,F,False,66,10,mid_2,1/1,MED,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,68.683333333333,53.766666666667,30.0
Mateo Pellegrino,1099296,9,F,False,90,11,ata,1/1,ATA,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,67.002898550725,46.813043478261,69.0
Leonel Picco,981350,14,M,True,24,12,,,SUS,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,59.093333333333,50.166666666667,15.0
Ronaldo Martinez,874452,77,F,True,24,13,,,SUS,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,61.905,62.66,20.0
Oscar Salomón,992226,24,D,True,12,14,,,SUS,Home,Platense,4-4-1-1,4,5,1,11937261,Liga Profesional,2024,Argentina,11,59.463636363636,17.618181818182,11.0
