Estadísticas,Por 90,Percentil,player,league,season,team,clase
Goles sin penalización,0.00,19.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Ofensiva
npxG: Goles esperados (xG) sin contar penaltis,0.02,19.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Ofensiva
Total de disparos,0.50,52.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Ofensiva
Asistencias,0.00,30.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Ofensiva
xAG: Exp. Objetivos asistidos,0.00,3.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Ofensiva
npxG + xAG,0.02,6.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Ofensiva
Acciones para la creación de tiros,0.30,3.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Ofensiva
Pases intentados,29.90,1.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Colectiva
% de pase completo,61.9%,1.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Colectiva
Pases progresivos,1.30,2.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Colectiva
Acarreos progresivos,0.10,8.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Colectiva
Tomas exitosas,0.00,5.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Colectiva
Toques (Ataq. pen.),0.60,28.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Colectiva
Pases progresivos Rec,0.00,3.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Colectiva
Derribos,1.10,29.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Defensiva
Intercepciones,1.70,89.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Defensiva
Bloqueos,1.30,61.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Defensiva
Despeje,8.70,99.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Defensiva
Aéreos Ganados,3.80,94.0,Gonzalo Requena,Argentina Liga Profesional,2024,Instituto,Defensiva
Goles sin penalización,0.10,70.0,Gaston Lodico,Argentina Liga Profesional,2024,Instituto,Ofensiva
npxG: Goles esperados (xG) sin contar penaltis,0.05,42.0,Gaston Lodico,Argentina Liga Profesional,2024,Instituto,Ofensiva
Total de disparos,0.72,29.0,Gaston Lodico,Argentina Liga Profesional,2024,Instituto,Ofensiva
Asistencias,0.21,91.0,Gaston Lodico,Argentina Liga Profesional,2024,Instituto,Ofensiva
xAG: Exp. Objetivos asistidos,0.17,90.0,Gaston Lodico,Argentina Liga Profesional,2024,Instituto,Ofensiva
npxG + xAG,0.23,76.0,Gaston Lodico,Argentina Liga Profesional,2024,Instituto,Ofensiva
