player_name,player_id,pos_id,position,pos,occurences,main
Hernán Galindez,146801,11,Keeper,GK,26,True
Sebastian Meza,1209083,11,Keeper,GK,4,True
Fernando Tobio,115671,33,Center Back,CB,27,True
Guillermo Burdisso,166510,34,Center Back,CB,6,True
Juan Komar,529624,32,Right Back,RB,2,False
Juan Komar,529624,33,Center Back,CB,13,True
Guillermo Benitez,571609,38,Left Back,LB,18,True
Guillermo Benitez,571609,71,Right Midfielder,RM,1,False
Lucas Carrizo,846916,36,Center Back,CB,34,True
Lucas Carrizo,846916,38,Left Back,LB,1,False
Lucas Carrizo,846916,66,Defensive Midfielder,DM,1,False
Lucas Carrizo,846916,76,Central Midfielder,CM,3,False
Fabio Pereyra,889736,34,Center Back,CB,25,True
Fabio Pereyra,889736,38,Left Back,LB,1,False
Hernan De La Fuente,900404,32,Right Back,RB,19,True
Cesar Ibanez,1092826,38,Left Back,LB,23,True
Cesar Ibanez,1092826,79,Left Midfielder,LM,1,False
Lucas Souto,1216361,32,Right Back,RB,28,True
Rodrigo Echeverria,517555,36,Center Back,CB,1,False
Rodrigo Echeverria,517555,64,Defensive Midfielder,DM,20,True
Rodrigo Echeverria,517555,72,Right Midfielder,RM,1,False
Rodrigo Echeverria,517555,73,Central Midfielder,CM,20,False
Rodrigo Echeverria,517555,83,Right Winger,RW,1,False
Rodrigo Echeverria,517555,84,Attacking Midfielder,AM,3,False
Federico Fattori,616508,65,Defensive Midfielder,DM,4,False
Federico Fattori,616508,73,Central Midfielder,CM,8,True
Hector Fertoli,725782,63,Defensive Midfielder,DM,1,False
Hector Fertoli,725782,72,Right Midfielder,RM,3,False
Hector Fertoli,725782,77,Central Midfielder,CM,4,False
Hector Fertoli,725782,78,Left Midfielder,LM,9,False
Hector Fertoli,725782,85,Attacking Midfielder,AM,10,True
Hector Fertoli,725782,87,Left Winger,LW,6,False
Hector Fertoli,725782,106,Striker,ST,1,False
Pablo Siles,921866,73,Central Midfielder,CM,13,True
Matias Gomez,933706,72,Right Midfielder,RM,1,True
Williams Alarcon,941949,64,Defensive Midfielder,DM,11,False
Williams Alarcon,941949,73,Central Midfielder,CM,17,True
Williams Alarcon,941949,83,Right Winger,RW,2,False
Williams Alarcon,941949,85,Attacking Midfielder,AM,4,False
Alan Sonora,1074074,64,Defensive Midfielder,DM,2,False
Alan Sonora,1074074,72,Right Midfielder,RM,7,True
Alan Sonora,1074074,77,Central Midfielder,CM,1,False
Alan Sonora,1074074,78,Left Midfielder,LM,1,False
Alan Sonora,1074074,84,Attacking Midfielder,AM,2,False
Alejo Toledo,1272906,64,Defensive Midfielder,DM,9,True
Alejo Toledo,1272906,73,Central Midfielder,CM,6,False
Alejo Toledo,1272906,83,Right Winger,RW,1,False
Franco Watson,1383667,72,Right Midfielder,RM,1,False
Franco Watson,1383667,78,Left Midfielder,LM,1,False
Franco Watson,1383667,85,Attacking Midfielder,AM,1,True
Franco Watson,1383667,87,Left Winger,LW,1,False
Franco Alfonso,1408581,67,Defensive Midfielder,DM,1,False
Franco Alfonso,1408581,72,Right Midfielder,RM,4,True
Franco Alfonso,1408581,73,Central Midfielder,CM,1,False
Franco Alfonso,1408581,78,Left Midfielder,LM,2,False
Leandro Garate,507948,103,Right Winger,RW,1,False
Leandro Garate,507948,105,Striker,ST,14,True
Ramon Abila,589900,104,Striker,ST,15,True
Eric Ramirez,624411,83,Right Winger,RW,3,False
Eric Ramirez,624411,85,Attacking Midfielder,AM,5,False
Eric Ramirez,624411,87,Left Winger,LW,1,False
Eric Ramirez,624411,104,Striker,ST,12,True
Walter Mazzanti,812450,78,Left Midfielder,LM,2,False
Walter Mazzanti,812450,82,Right Winger,RW,22,True
Walter Mazzanti,812450,87,Left Winger,LW,1,False
Walter Mazzanti,812450,104,Striker,ST,12,False
Marcelo Perez,1042570,72,Right Midfielder,RM,1,False
Marcelo Perez,1042570,104,Striker,ST,5,True
Rodrigo Cabral,1095186,58,Left Wing-Back,LWB,1,False
Rodrigo Cabral,1095186,87,Left Winger,LW,15,True
Francisco Ramirez,1130230,72,Right Midfielder,RM,1,False
Francisco Ramirez,1130230,83,Right Winger,RW,2,False
Francisco Ramirez,1130230,104,Striker,ST,10,True
Dante Campisi,561036,11,Keeper,GK,14,True
Thiago Cardozo,643566,11,Keeper,GK,13,True
Miguel Angel Torren,113622,25,Center Back,CB,22,True
Claudio Corvalan,209518,27,Center Back,CB,34,True
Claudio Corvalan,209518,38,Left Back,LB,1,False
Bruno Pitton,673769,59,Left Wing-Back,LWB,21,True
Franco Pardo,845263,33,Center Back,CB,24,True
Franco Pardo,845263,74,Central Midfielder,CM,1,False
Francisco Gerometta,1128483,51,Right Wing-Back,RWB,1,True
Nicolas Paz,1342537,23,Center Back,CB,32,True
Juan Pablo Luduena,1388618,36,Center Back,CB,1,True
Lautaro Vargas,1520065,51,Right Wing-Back,RWB,8,True
Valentin Fascendini,1606009,37,Center Back,CB,1,True
Mauro Pitton,647245,51,Right Wing-Back,RWB,1,False
Mauro Pitton,647245,59,Left Wing-Back,LWB,1,False
Mauro Pitton,647245,64,Defensive Midfielder,DM,2,False
Mauro Pitton,647245,73,Central Midfielder,CM,35,True
Tiago Banega,1128964,51,Right Wing-Back,RWB,1,False
Tiago Banega,1128964,73,Central Midfielder,CM,4,True
Enzo Roldan,1186694,73,Central Midfielder,CM,8,True
Patricio Tanda,1208443,73,Central Midfielder,CM,2,True
Simon Rivero,1280335,73,Central Midfielder,CM,8,True
Mateo Del Blanco,1336846,59,Left Wing-Back,LWB,3,False
Mateo Del Blanco,1336846,73,Central Midfielder,CM,5,True
Joaquin Mosqueira,1451319,73,Central Midfielder,CM,33,True
Nicolas Orsini,485378,104,Striker,ST,16,True
Adrian Balboa,514296,103,Right Winger,RW,1,False
Adrian Balboa,514296,104,Striker,ST,25,True
Lucas Emanuel Gamba,617244,78,Left Midfielder,LM,3,False
Lucas Emanuel Gamba,617244,85,Attacking Midfielder,AM,1,False
Lucas Emanuel Gamba,617244,102,Right Winger,RW,1,False
Lucas Emanuel Gamba,617244,104,Striker,ST,15,True
Lucas Emanuel Gamba,617244,107,Left Winger,LW,2,False
Javier Morales,1408244,104,Striker,ST,19,True
Jeronimo Domina,1436222,72,Right Midfielder,RM,1,False
Jeronimo Domina,1436222,104,Striker,ST,10,True
Tomas Durso,874631,11,Keeper,GK,25,True
Juan Gonzalez,1313882,11,Keeper,GK,10,True
Gino Peruzzi,230476,32,Right Back,RB,8,True
Gino Peruzzi,230476,71,Right Midfielder,RM,1,False
Nestor Breitenbruch,561038,32,Right Back,RB,3,False
Nestor Breitenbruch,561038,33,Center Back,CB,13,True
Nestor Breitenbruch,561038,51,Right Wing-Back,RWB,1,False
Matias Orihuela,577674,38,Left Back,LB,19,True
Matias Orihuela,577674,59,Left Wing-Back,LWB,2,False
Matias Orihuela,577674,78,Left Midfielder,LM,4,False
Matias de los Santos,582008,33,Center Back,CB,20,True
Juan Infante,941538,38,Left Back,LB,26,True
Gianluca Ferrari,955274,36,Center Back,CB,3,True
Gonzalo Paz,1090320,36,Center Back,CB,4,True
Francisco Flores,1109036,32,Right Back,RB,3,False
Francisco Flores,1109036,33,Center Back,CB,17,True
Nicolas Romero,1230353,34,Center Back,CB,35,True
Moises Brandan,1315385,32,Right Back,RB,6,True
Nicolas Castro,620528,64,Defensive Midfielder,DM,1,False
Nicolas Castro,620528,73,Central Midfielder,CM,19,True
Nicolas Castro,620528,78,Left Midfielder,LM,2,False
Nicolas Castro,620528,83,Right Winger,RW,1,False
Nicolas Castro,620528,84,Attacking Midfielder,AM,1,False
Guillermo Acosta,620541,65,Defensive Midfielder,DM,3,False
Guillermo Acosta,620541,73,Central Midfielder,CM,29,True
Renzo Tesuri,793800,32,Right Back,RB,1,False
Renzo Tesuri,793800,51,Right Wing-Back,RWB,2,False
Renzo Tesuri,793800,63,Defensive Midfielder,DM,1,False
Renzo Tesuri,793800,71,Right Midfielder,RM,27,True
Justo Giani,1003370,72,Right Midfielder,RM,1,False
Justo Giani,1003370,78,Left Midfielder,LM,7,True
Justo Giani,1003370,83,Right Winger,RW,1,False
Justo Giani,1003370,85,Attacking Midfielder,AM,3,False
Justo Giani,1003370,104,Striker,ST,4,False
Lucas Ambrogio,1075409,72,Right Midfielder,RM,1,True
Rodrigo Melo,1085976,66,Defensive Midfielder,DM,1,True
Adrian Sanchez,1118246,64,Defensive Midfielder,DM,2,False
Adrian Sanchez,1118246,72,Right Midfielder,RM,2,False
Adrian Sanchez,1118246,73,Central Midfielder,CM,27,True
Adrian Sanchez,1118246,78,Left Midfielder,LM,1,False
Camilo Albornoz,1128966,73,Central Midfielder,CM,1,True
Tomas Castro,1206665,72,Right Midfielder,RM,2,True
Sergio Ortiz,1385885,65,Defensive Midfielder,DM,1,False
Sergio Ortiz,1385885,73,Central Midfielder,CM,2,True
Luis Miguel Rodriguez,182301,85,Attacking Midfielder,AM,9,False
Luis Miguel Rodriguez,182301,103,Right Winger,RW,1,False
Luis Miguel Rodriguez,182301,104,Striker,ST,13,True
Luis Miguel Rodriguez,182301,107,Left Winger,LW,3,False
Marcelo Estigarribia,809766,104,Striker,ST,24,True
Mateo Agustin Coronel,884282,78,Left Midfielder,LM,1,False
Mateo Agustin Coronel,884282,104,Striker,ST,21,True
Mateo Bajamich,1085213,77,Central Midfielder,CM,6,False
Mateo Bajamich,1085213,85,Attacking Midfielder,AM,2,False
Mateo Bajamich,1085213,104,Striker,ST,16,True
Mateo Bajamich,1085213,107,Left Winger,LW,2,False
Tomas Marchiori,886331,11,Keeper,GK,43,True
Randall Rodriguez,1248710,11,Keeper,GK,2,True
