name,id,profile,team,league,country,season,link
Ramon Abila,788935,https://api.sofascore.app/api/v1/player/788935/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/ramon-abila/788935
Leandro Garate,364980,https://api.sofascore.app/api/v1/player/364980/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/leandro-garate/364980
Perez Marcelo,980586,https://api.sofascore.app/api/v1/player/980586/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/perez-marcelo/980586
Nicolas Cordero,860051,https://api.sofascore.app/api/v1/player/860051/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/nicolas-cordero/860051
Erik Ramirez,792334,https://api.sofascore.app/api/v1/player/792334/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/erik-ramirez/792334
Walter Mazzantti,861339,https://api.sofascore.app/api/v1/player/861339/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/walter-mazzantti/861339
Rodrigo Cabral,997539,https://api.sofascore.app/api/v1/player/997539/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/rodrigo-cabral/997539
Sebastian Ramirez,988856,https://api.sofascore.app/api/v1/player/988856/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/sebastian-ramirez/988856
Rodrigo Echeverria,339265,https://api.sofascore.app/api/v1/player/339265/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/rodrigo-echeverria/339265
Williams Alarcon,936534,https://api.sofascore.app/api/v1/player/936534/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/williams-alarcon/936534
Franco Alfonso,1410924,https://api.sofascore.app/api/v1/player/1410924/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/franco-alfonso/1410924
Alan Sonora,985002,https://api.sofascore.app/api/v1/player/985002/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/alan-sonora/985002
Pablo Siles,931631,https://api.sofascore.app/api/v1/player/931631/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/pablo-siles/931631
Hector Fertoli,831608,https://api.sofascore.app/api/v1/player/831608/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/hector-fertoli/831608
Watson Franco,1018412,https://api.sofascore.app/api/v1/player/1018412/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/watson-franco/1018412
Toledo Agustin,1115981,https://api.sofascore.app/api/v1/player/1115981/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/toledo-agustin/1115981
Federico Fattori,789640,https://api.sofascore.app/api/v1/player/789640/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/federico-fattori/789640
Hernan De La Fuente,912936,https://api.sofascore.app/api/v1/player/912936/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/hernan-de-la-fuente/912936
Juan Komar,376734,https://api.sofascore.app/api/v1/player/376734/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/juan-komar/376734
Cesar Ibanez,988327,https://api.sofascore.app/api/v1/player/988327/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/cesar-ibanez/988327
Fabio Pereyra,943995,https://api.sofascore.app/api/v1/player/943995/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/fabio-pereyra/943995
Lucas Carrizo,871798,https://api.sofascore.app/api/v1/player/871798/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/lucas-carrizo/871798
Guillermo Burdisso,106490,https://api.sofascore.app/api/v1/player/106490/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/guillermo-burdisso/106490
Fernando Tobio,80918,https://api.sofascore.app/api/v1/player/80918/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/fernando-tobio/80918
Guillermo Benitez,830583,https://api.sofascore.app/api/v1/player/830583/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/guillermo-benitez/830583
Patricio Pizarro,1384823,https://api.sofascore.app/api/v1/player/1384823/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/patricio-pizarro/1384823
Lucas Souto,1020523,https://api.sofascore.app/api/v1/player/1020523/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/lucas-souto/1020523
Hernan Galindez,588618,https://api.sofascore.app/api/v1/player/588618/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/hernan-galindez/588618
Sebastian Meza,1017440,https://api.sofascore.app/api/v1/player/1017440/image,Huracán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/sebastian-meza/1017440
Mateo Coronel,898982,https://api.sofascore.app/api/v1/player/898982/image,Atlético Tucumán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/mateo-coronel/898982
Luis Miguel Rodriguez,93199,https://api.sofascore.app/api/v1/player/93199/image,Atlético Tucumán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/luis-miguel-rodriguez/93199
Mateo Bajamich,994451,https://api.sofascore.app/api/v1/player/994451/image,Atlético Tucumán,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/jugador/mateo-bajamich/994451
