player,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos,league,season,team,country
Walter Mazzantti,ARG,DL,27.96164383561644,11,11,963.0,10.7,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.2,3.2,36.0,18.0,86.0,0.09,0.19,0.28,0.09,0.28,0.19,0.12,0.3,0.19,0.3,Partidos,Liga Profesional,2024,Huracan,Argentina
Lucas Carrizo,ARG,DF,27.254794520547946,10,10,900.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.1,0.3,2.0,25.0,4.0,0.0,0.1,0.1,0.0,0.1,0.03,0.01,0.03,0.03,0.03,Partidos,Liga Profesional,2024,Huracan,Argentina
William Alarcón,CHI,CC,23.753424657534246,10,10,802.0,8.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.7,0.7,0.4,1.1,11.0,54.0,31.0,0.22,0.0,0.22,0.22,0.22,0.08,0.05,0.13,0.08,0.13,Partidos,Liga Profesional,2024,Huracan,Argentina
Rodrigo Cabral,ARG,DL,24.035616438356165,10,10,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,20.0,21.0,46.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.15,0.11,0.15,Partidos,Liga Profesional,2024,Huracan,Argentina
Rodrigo Echeverría,CHI,CC,29.345205479452055,9,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.4,2.0,38.0,12.0,0.11,0.0,0.11,0.11,0.11,0.08,0.07,0.15,0.08,0.15,Partidos,Liga Profesional,2024,Huracan,Argentina
Hernán Galíndez,ECU,PO,37.394520547945206,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos,Liga Profesional,2024,Huracan,Argentina
Héctor Fértoli,ARG,"CC,DL",29.71780821917808,11,7,667.0,7.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.1,1.1,0.8,2.0,7.0,28.0,25.0,0.4,0.0,0.4,0.4,0.4,0.15,0.11,0.26,0.15,0.26,Partidos,Liga Profesional,2024,Huracan,Argentina
César Ibáñez,ARG,DF,25.17808219178082,10,6,591.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.6,12.0,23.0,19.0,0.0,0.15,0.15,0.0,0.15,0.0,0.08,0.09,0.0,0.09,Partidos,Liga Profesional,2024,Huracan,Argentina
Fabio Pereyra,ARG,DF,34.556164383561644,8,6,555.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Partidos,Liga Profesional,2024,Huracan,Argentina
Lucas Souto,ARG,DF,25.863013698630137,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Partidos,Liga Profesional,2024,Huracan,Argentina
