team,stat,value,class,target,table,league,country,season
Arg Juniors,PL,28.0,,For,Standard,Liga Profesional,Argentina,2024
Atlé Tucumán,PL,25.0,,For,Standard,Liga Profesional,Argentina,2024
Banfield,PL,32.0,,For,Standard,Liga Profesional,Argentina,2024
Barracas Central,PL,27.0,,For,Standard,Liga Profesional,Argentina,2024
Belgrano,PL,33.0,,For,Standard,Liga Profesional,Argentina,2024
Boca Juniors,PL,36.0,,For,Standard,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,PL,37.0,,For,Standard,Liga Profesional,Argentina,2024
Defensa y Just,PL,32.0,,For,Standard,Liga Profesional,Argentina,2024
Deportivo Riestra,PL,29.0,,For,Standard,Liga Profesional,Argentina,2024
Estudiantes,PL,31.0,,For,Standard,Liga Profesional,Argentina,2024
Gimnasia–LP,PL,34.0,,For,Standard,Liga Profesional,Argentina,2024
Godoy Cruz,PL,31.0,,For,Standard,Liga Profesional,Argentina,2024
Huracán,PL,27.0,,For,Standard,Liga Profesional,Argentina,2024
Independiente,PL,30.0,,For,Standard,Liga Profesional,Argentina,2024
Independiente Rivadavia,PL,34.0,,For,Standard,Liga Profesional,Argentina,2024
Instituto,PL,22.0,,For,Standard,Liga Profesional,Argentina,2024
Lanús,PL,30.0,,For,Standard,Liga Profesional,Argentina,2024
Newell's OB,PL,36.0,,For,Standard,Liga Profesional,Argentina,2024
Platense,PL,31.0,,For,Standard,Liga Profesional,Argentina,2024
Racing Club,PL,29.0,,For,Standard,Liga Profesional,Argentina,2024
River Plate,PL,34.0,,For,Standard,Liga Profesional,Argentina,2024
Rosario Central,PL,30.0,,For,Standard,Liga Profesional,Argentina,2024
San Lorenzo,PL,34.0,,For,Standard,Liga Profesional,Argentina,2024
Sarmiento,PL,35.0,,For,Standard,Liga Profesional,Argentina,2024
Talleres,PL,31.0,,For,Standard,Liga Profesional,Argentina,2024
Tigre,PL,31.0,,For,Standard,Liga Profesional,Argentina,2024
Unión,PL,25.0,,For,Standard,Liga Profesional,Argentina,2024
Vélez Sarsfield,PL,29.0,,For,Standard,Liga Profesional,Argentina,2024
