team,id,logo,league,country,season,link
Huracán,7629,https://api.sofascore.app/api/v1/team/7629/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/huracan/7629
Atlético Tucumán,36833,https://api.sofascore.app/api/v1/team/36833/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/atletico-tucuman/36833
Club Atlético Unión de Santa Fé,3204,https://api.sofascore.app/api/v1/team/3204/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/club-atletico-union/3204
Racing Club,3215,https://api.sofascore.app/api/v1/team/3215/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/racing-club/3215
Vélez Sarsfield,3208,https://api.sofascore.app/api/v1/team/3208/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/velez-sarsfield/3208
Instituto De Córdoba,4937,https://api.sofascore.app/api/v1/team/4937/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/instituto-cordoba/4937
Talleres,3210,https://api.sofascore.app/api/v1/team/3210/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/talleres/3210
Deportivo Riestra,189723,https://api.sofascore.app/api/v1/team/189723/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/deportivo-riestra/189723
Boca Juniors,3202,https://api.sofascore.app/api/v1/team/3202/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/boca-juniors/3202
River Plate,3211,https://api.sofascore.app/api/v1/team/3211/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/river-plate/3211
Lanús,3218,https://api.sofascore.app/api/v1/team/3218/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/lanus/3218
Godoy Cruz,6074,https://api.sofascore.app/api/v1/team/6074/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/godoy-cruz/6074
Belgrano,3203,https://api.sofascore.app/api/v1/team/3203/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/belgrano/3203
Rosario Central,3217,https://api.sofascore.app/api/v1/team/3217/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/rosario-central/3217
Estudiantes de La Plata,3206,https://api.sofascore.app/api/v1/team/3206/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/estudiantes-de-la-plata/3206
Platense,36837,https://api.sofascore.app/api/v1/team/36837/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/platense/36837
Independiente Rivadavia,36842,https://api.sofascore.app/api/v1/team/36842/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/independiente-rivadavia/36842
Independiente,3209,https://api.sofascore.app/api/v1/team/3209/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/independiente/3209
Gimnasia y Esgrima,3205,https://api.sofascore.app/api/v1/team/3205/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/gimnasia-y-esgrima/3205
Argentinos Juniors,3216,https://api.sofascore.app/api/v1/team/3216/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/argentinos-juniors/3216
Sarmiento,42338,https://api.sofascore.app/api/v1/team/42338/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/sarmiento/42338
Tigre,7628,https://api.sofascore.app/api/v1/team/7628/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/tigre/7628
Newell's Old Boys,3212,https://api.sofascore.app/api/v1/team/3212/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/newells-old-boys/3212
San Lorenzo,3201,https://api.sofascore.app/api/v1/team/3201/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/san-lorenzo/3201
Banfield,3219,https://api.sofascore.app/api/v1/team/3219/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/banfield/3219
Barracas Central,65668,https://api.sofascore.app/api/v1/team/65668/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/barracas-central/65668
Defensa y Justicia,36839,https://api.sofascore.app/api/v1/team/36839/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/defensa-y-justicia/36839
Central Córdoba,65676,https://api.sofascore.app/api/v1/team/65676/image,Liga Profesional,Argentina,2024,https://www.sofascore.com/es/equipo/futbol/central-cordoba/65676
